years,place,lat,lon
4,Atlanta,33.1136,-94.1672
4,Austin,30.3006,-97.7517
4,Round Rock,30.5252,-97.6659
4,Cedar Park,30.5105,-97.8198
4,Boulder,42.7461,-109.7067
4,Boston,37.6039,-75.8437
4,Chicago,41.8373,-87.6861
4,Washington,38.7122,-78.1599
4,Los Angeles,28.4658,-99
4,Cambridge,43.0071,-89.0214
4,Mountain View,19.5358,-155.1596
4,Manhattan,40.7834,-73.9662
4,New York,32.1679,-95.6691
4,Jersey City,40.7161,-74.0682
4,Newark,39.6776,-75.7573
4,Oakland,28.5537,-81.6339
4,Bronx,42.9927,-110.1157
4,Hoboken,40.7453,-74.0279
4,Brooklyn,46.7762,-123.5099
4,Rutherford,40.8203,-74.1057
4,Union,47.3475,-123.0952
4,Rahway,40.6077,-74.2807
4,Murray Hill,38.2907,-85.5871
4,South Plainfield,40.5748,-74.4153
4,Queens,40.7498,-73.7976
4,Little Falls,43.0452,-74.8566
4,Florham Park,40.7772,-74.3953
4,Troy Hills,40.8529,-74.3921
4,Bloomfield,36.7398,-107.9733
4,Lynbrook,40.6579,-73.6742
4,Allendale,42.8147,-106.3106
4,Parsippany,40.8579,-74.426
4,West Orange,30.0791,-93.7599
4,Kenilworth,40.6781,-74.289
4,Ridgefield,45.8116,-122.7052
4,Harrison,44.1923,-88.2913
4,Montclair,38.6111,-77.34
4,Fort Lee,40.8509,-73.9712
4,Carlstadt,40.8247,-74.0613
4,Orangeburg,41.0487,-73.9407
4,Fairfield,47.3848,-117.1748
4,Palisades,47.419,-119.9145
4,Hackensack,40.889,-74.0461
4,Roseland,27.8361,-80.4884
4,East Hanover,40.8201,-74.3649
4,Long Beach,46.3559,-124.0557
4,Whippany,40.8245,-74.4171
4,Manhasset,40.7884,-73.6943
4,Yonkers,40.9466,-73.8674
4,New Hyde Park,40.7324,-73.6857
4,Secaucus,40.781,-74.0659
4,Port Washington,43.3847,-87.8852
4,Staten Island,40.5834,-74.1496
4,Short Hills,40.7389,-74.3278
4,Woodcliff Lake,41.0253,-74.0604
4,Redmond,47.6762,-122.1166
4,San Diego,27.7609,-98.2389
4,Bedminster,40.6807,-74.6454
4,New Brunswick,40.487,-74.445
4,Seattle,47.6211,-122.3244
4,San Francisco,37.7562,-122.443
4,Redwood City,37.5026,-122.2252
4,San Mateo,35.3317,-107.6469
4,Berkeley,28.5028,-82.5887
4,Menlo Park,37.4686,-122.1671
4,Emeryville,37.8382,-122.2932
4,Oakland,28.5537,-81.6339
4,South San Francisco,37.6536,-122.4197
4,Foster City,37.5553,-122.2659
4,San Carlos,26.2957,-98.063
4,Union City,40.7674,-74.0323
4,Burlingame,37.586,-122.3669
4,Belmont,47.0879,-117.1624
4,Richmond,37.5295,-77.4756
4,Hayward,46.0094,-91.4826
4,Novato,38.092,-122.5576
4,Alameda,35.1867,-106.6181
4,San Rafael,35.0878,-107.8895
4,Pleasant Hill,47.6154,-121.9096
4,San Bruno,37.6254,-122.4313
4,San Ramon,37.7625,-121.9365
4,Lafayette,37.233,-80.2051
4,San Leandro,37.7071,-122.1601
4,Daly City,37.6863,-122.4684
4,Mill Valley,37.9085,-122.542
4,Fremont,44.2602,-88.8715
4,Martinez,37.9985,-122.116
4,Walnut Creek,35.305,-77.8714
4,Kentfield,37.9481,-122.5497
4,Sunnyvale,32.7974,-96.5577
