state,visited
Alabama,3
Alaska,3
Arizona,1
Arkansas,3
California,1
Colorado,0
Connecticut,1
Delaware,2
District of Columbia,0
Florida,1
Georgia,2
Guam,3
Hawaii,0
Idaho,1
Illinois,2
Indiana,2
Iowa,3
Kansas,2
Kentucky,3
Louisiana,3
Maine,1
Maryland,2
Massachusetts,1
Michigan,2
Minnesota,1
Mississippi,3
Missouri,2
Montana,1
Nebraska,2
Nevada,1
New Hampshire,1
New Jersey,1
New Mexico,1
New York,1
North Carolina,2
North Dakota,2
Ohio,2
Oklahoma,3
Oregon,1
Pennsylvania,2
Puerto Rico,2
Rhode Island,2
South Carolina,3
South Dakota,2
Tennessee,2
Texas,2
Utah,1
Vermont,1
Virginia,2
Washington,1
West Virginia,3
Wisconsin,2
Wyoming,1
