name,word,count
data,data,7062
experience,experience,2999
brbr,brbr,2791
work,work,2302
research,research,2251
team,team,1845
business,business,1809
br,br,1774
new,new,1761
science,science,1423
learning,learning,1409
skills,skills,1293
analysis,analysis,1214
years,years,1211
including,including,1164
management,management,1095
machine,machine,1070
span,span,1057
analytics,analytics,999
information,information,990
idjob_summary,idjob_summary,986
ability,ability,970
health,health,960
ul,ul,955
development,development,950
working,working,936
degree,degree,885
knowledge,knowledge,867
status,status,850
related,related,834
support,support,778
opportunity,opportunity,757
amp,amp,750
strong,strong,748
statistical,statistical,743
york,york,728
solutions,solutions,718
one,one,709
models,models,703
using,using,693
technical,technical,683
projects,projects,680
develop,develop,659
product,product,654
across,across,650
us,us,638
tools,tools,631
people,people,628
